unit,region,depth_um,fr_pre,fr_stim,pct_change,log2_ratio,mod_index,p_raw,z_pct,z_log2,p_fdr,responder_z2sd,responder_wilcoxon,condition
25,CTX,480.804443359375,19.966666666666665,21.591666666666665,8.13856427378965,0.11288110739130867,0.03910166432725085,0.04213254463283761,-0.2037136704294287,-0.09918040596519286,0.21222142600556243,False,False,phase_reversing_1
23,CTX,502.58251953125,3.591666666666667,4.254166666666666,18.445475638051036,0.24422309178870324,0.08443972384492826,0.01002247513335938,0.11705852027932978,0.25544718234391756,0.17539331483378914,False,False,phase_reversing_1
20,CTX,511.6981201171875,9.541666666666666,8.633333333333333,-9.519650655021833,-0.14432359529775246,-0.04997707473635947,0.02789785270001387,-0.7532734838922153,-0.7936413876145069,0.21222142600556243,False,False,phase_reversing_1
27,CTX,546.5692138671875,9.641666666666667,10.395833333333334,7.821953327571302,0.10865095111713284,0.03763776252859221,0.03290112789111606,-0.2135672515102737,-0.11060196415592921,0.21222142600556243,False,False,phase_reversing_1
32,CTX,582.375,20.975,21.1625,0.8939213349225268,0.012839257455818381,0.004449718184514981,0.9003438289245913,-0.4291817960660829,-0.3692966230710814,1.0,False,False,phase_reversing_1
35,CTX,599.0913696289062,9.458333333333334,9.341666666666667,-1.2334801762114587,-0.01790601937285059,-0.006205673758865273,0.9266300611718286,-0.4953908881137542,-0.4523098607929803,1.0,False,False,phase_reversing_1
45,CTX,738.1071166992188,0.275,0.30833333333333335,12.121212121212118,0.1650592462704962,0.05714285714285713,0.11909080791901563,-0.07976551276223835,0.04170224963104133,0.41681782771655473,False,False,phase_reversing_1
56,CTX,801.6923828125,0.85,1.0333333333333334,21.568627450980408,0.28177096841537974,0.0973451327433629,0.14634965172065179,0.2142574010636488,0.3568276586275578,0.42685315085190106,False,False,phase_reversing_1
55,CTX,805.0826416015625,0.7416666666666667,0.65,-12.359550561797754,-0.19033121210414936,-0.0658682634730539,0.5646588462530417,-0.8416569852434362,-0.9178634348658798,0.7905223847542584,False,False,phase_reversing_1
58,CTX,842.6435546875,0.15833333333333333,0.275,73.68421052631581,0.7964666059148682,0.2692307692307693,0.1807665062840892,1.8362010816026755,1.7465224578732168,0.48667905538024014,False,False,phase_reversing_1
65,CTX,872.6962890625,38.358333333333334,38.65833333333333,0.7820986313273878,0.011239403625949567,0.0038952607660679137,0.9501023185933581,-0.4326619476202686,-0.37361627994193286,1.0,False,False,phase_reversing_1
64,CTX,879.1714477539062,4.258333333333334,4.9875,17.12328767123286,0.22802795600588038,0.07886435331230278,0.03295693473666309,0.07590932284704748,0.2117197940959677,0.21222142600556243,False,False,phase_reversing_1
67,CTX,927.9193115234375,0.2916666666666667,0.4875,67.14285714285712,0.741081702638438,0.2513368983957219,0.003726152752597047,1.6326207673013544,1.5969814351167233,0.13041534634089666,False,False,phase_reversing_1
66,CTX,939.7611694335938,0.2,0.30416666666666664,52.08333333333331,0.6048620581588607,0.2066115702479338,0.23984068515740842,1.1639375437158919,1.2291840074796,0.5027999781935936,False,False,phase_reversing_1
72,CTX,956.0975341796875,2.533333333333333,2.1125,-16.61184210526316,-0.2620855764402451,-0.09058295964125562,0.051210147776488496,-0.9739970069748132,-1.1116025297326972,0.22404439652213717,False,False,phase_reversing_1
77,CTX,1062.6483154296875,3.4,3.7958333333333334,11.642156862745104,0.15888190183055517,0.055008685581934016,0.2090973717952025,-0.09467469353406957,0.025023220675130138,0.5027999781935936,False,False,phase_reversing_1
79,HPC,1104.9130859375,0.35,0.5416666666666666,54.76190476190476,0.6300503902496942,0.21495327102803738,0.27125130154751187,1.2473001724168642,1.297193315423926,0.5274330863423842,False,False,phase_reversing_1
85,HPC,1198.19384765625,14.891666666666667,15.495833333333334,4.057078903189699,0.05737511357049691,0.019882078705608097,0.2431625155451277,-0.3307378542419298,-0.24904837709176078,0.5027999781935936,False,False,phase_reversing_1
