unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz
161,flicker_40Hz,597,3.0902777777777777,1.9791666666666667,1.5614035087719298,0.21917808219178078,0.06976160268154522,0.03488080134077261,-0.00045914065369439074,0.48385749044295584,35.00796843548663,True,0.7899714129680911,False,mua,HPC,1969.720458984375,2.792697277945026
160,flicker_40Hz,4441,19.618055555555554,17.604166666666668,1.1143984220907297,0.05410447761194021,0.017138170641016484,0.008569085320508242,-0.00015177946388173524,0.7217557783908709,20.142490555071554,True,0.9082033153843198,False,mua,HPC,1973.4671630859375,19.27313225561268
163,flicker_40Hz,1317,6.493055555555555,4.444444444444445,1.4609375,0.18730158730158727,0.0896716647414299,0.04483583237071495,0.001251900991931366,0.07080488245417853,45.69489573655304,True,0.43572235356417555,False,mua,HPC,1993.0799560546875,5.831075956882241
168,flicker_40Hz,2553,11.284722222222221,9.86111111111111,1.1443661971830985,0.06732348111658455,0.004684963480861575,0.0023424817404307874,-0.0003863601589114598,0.9860914791989999,276.5565360598812,True,0.9965941923381803,False,mua,HPC,1994.9326171875,10.583290109407478
169,flicker_40Hz,2428,10.9375,9.0625,1.206896551724138,0.09375,0.02325265689595491,0.011626328447977455,-0.0002768041063034006,0.7202622142868383,287.4177592355931,True,0.9082033153843198,False,mua,HPC,1997.716796875,10.65727146526181
166,flicker_40Hz,980,4.756944444444445,3.298611111111111,1.4421052631578948,0.18103448275862072,0.03522857577265524,0.01761428788632762,-0.0007108704034856186,0.7379151937497598,23.762067218235835,True,0.9082033153843198,False,mua,HPC,2027.255126953125,4.067392083092905
167,flicker_40Hz,302,1.6319444444444444,0.9375,1.7407407407407407,0.27027027027027023,0.07950858239744976,0.03975429119872488,-0.0017366049569723244,0.6208406692964701,43.110487246583304,True,0.8869152418521001,False,mua,HPC,2027.8082275390625,1.2687604717905794
164,flicker_40Hz,1507,7.013888888888888,5.486111111111111,1.2784810126582278,0.12222222222222222,0.050015970142184965,0.025007985071092483,-3.8196035062955684e-05,0.3897259688591775,291.21751136724896,True,0.7550159097522346,False,mua,HPC,2031.1707763671875,6.851781294337712
171,flicker_40Hz,730,3.784722222222222,2.2222222222222223,1.7031249999999998,0.2601156069364161,0.10091148098051639,0.050455740490258194,0.0011775317919709254,0.1559327404253899,269.96607790334906,True,0.5958270516951036,False,mua,HPC,2033.68896484375,3.294346257748723
173,flicker_40Hz,1445,7.1875,5.0,1.4375,0.1794871794871795,0.06391777283464285,0.031958886417321426,0.0003295569656481572,0.2286080288846329,358.76388307496046,True,0.7172016592459072,False,mua,HPC,2037.5264892578125,5.936707090642168
